id, nombre, plantel, Turno, estacion, puntajeEstacion,Llegada,Salida
17,"Coba 16, Mente y Talento ",16 Tayoltita,Matutino,Tutorías,100,10:10:00 a. m.,10:55:00 a. m.
18,Tribu Invencible Mezquital,17 Mezquital,Matutino,Tutorías,85,10:10:00 a. m.,10:55:00 a. m.
19,O’dam Tasai,18 Antonio Amaro,Matutino,Tutorías,95,10:10:00 a. m.,10:55:00 a. m.
1,ALQUIMISTAS ,01 La Forestal,Matutino,Tutorías,73,10:10:00 a. m.,10:55:00 a. m.
20,JILGUEROS DEL ARROYO,19 Santa Clara,Matutino,Tutorías,78,10:10:00 a. m.,10:55:00 a. m.
21,Guerreros ,20 Guadalupe Victoria,Matutino,Tutorías,100,10:10:00 a. m.,10:55:00 a. m.
22,Corceles de fuego ,22 Santa Ma. Del Oro,Matutino,Tutorías,95,10:10:00 a. m.,10:55:00 a. m.
23,Tusas mineras,23 Coneto de Comonfort,Matutino,Tutorías,75,10:10:00 a. m.,10:55:00 a. m.
24,Coyotes,24 Simón Bolívar,Matutino,Tutorías,88,10:10:00 a. m.,10:55:00 a. m.
25,ESCUADRÓN 27,27 Vicente Guerrero,Matutino,Tutorías,92,10:10:00 a. m.,10:55:00 a. m.
26,TUKURA,28 El Salto,Matutino,Tutorías,83,10:10:00 a. m.,10:55:00 a. m.
27,Furia Manzanera ,29 Canatlán,Matutino,Tutorías,83,10:10:00 a. m.,10:55:00 a. m.
28,VIGIAS DEL SABER ,31 La Ciudad,Matutino,Tutorías,85,10:10:00 a. m.,10:55:00 a. m.
29,LOBOS,32 Juana Villalobos,Matutino,Tutorías,75,10:10:00 a. m.,10:55:00 a. m.
2,Guardianes del Jardín ,02 Lerdo,Vespertino,Tutorías,81,10:10:00 a. m.,10:55:00 a. m.
30,Halcones,32 Juana Villalobos,Vespertino,Tutorías,80,10:10:00 a. m.,10:55:00 a. m.
31,Titanes,33 Pino Suárez,vespertino,Tutorías,93,10:10:00 a. m.,10:55:00 a. m.
32,SOMOS GIGANTES VILLAS,34 Villas Del Guadiana,Matutino,Tutorías,90,10:10:00 a. m.,10:55:00 a. m.
33,la variable rebelde ,35 Gómez Palacio,Vespertino,Tutorías,90,10:10:00 a. m.,10:55:00 a. m.
3,COBAED MADERO,03 Fco. I. Madero,Matutino,Tutorías,95,10:10:00 a. m.,10:55:00 a. m.
4,En proceso,05 Bermejillo,Matutino,Tutorías,73,10:10:00 a. m.,10:55:00 a. m.
5,ELITE DEL INTELECTO,06 Peñón Blanco,Matutino,Tutorías,95,10:10:00 a. m.,10:55:00 a. m.
6,Campobellos en movimiento,07 Villa Ocampo,Matutino,Tutorías,88,10:10:00 a. m.,10:55:00 a. m.
7,Escuadron respeto y victoria,08 Nazas,Matutino,Tutorías,90,10:10:00 a. m.,10:55:00 a. m.
8,Pumas 09,09 Lomas,Matutino,Tutorías,75,10:10:00 a. m.,10:55:00 a. m.
9,CORCELES DEL SABER  ,09 Lomas,Vespertino,Tutorías,75,10:10:00 a. m.,10:55:00 a. m.
10,Guerreros Pinioleros,10 Santiago Papasquiaro,Matutino,Ciencias Naturales,95.23,10:10:00 a. m.,10:55:00 a. m.
11,Papas Kiali Papali,10 Santiago Papasquiaro,Vespertino,Ciencias Naturales,90.47,10:10:00 a. m.,10:55:00 a. m.
12,BAILEYI´S O´DAM,11 Tepehuanes,Matutino,Ciencias Naturales,71.43,10:10:00 a. m.,10:55:00 a. m.
13,Apex Ducks,12 Nuevo Ideal,Matutino,Ciencias Naturales,90.47,10:10:00 a. m.,10:55:00 a. m.
14,Impacto 13 ,13 Tamazula,Matutino,Ciencias Naturales,80.95,10:10:00 a. m.,10:55:00 a. m.
15,LOS GUARDIANES DEL DESIERTO,14 San Juan De Guadalupe,Matutino,Ciencias Naturales,71.43,10:10:00 a. m.,10:55:00 a. m.
16,MENTES NOCTURNAS ,15 San Miguel De Cruces,Matutino,Ciencias Naturales,95.23,10:10:00 a. m.,10:55:00 a. m.
17,"Coba 16, Mente y Talento ",16 Tayoltita,Matutino,Ciencias Naturales,47.61,10:10:00 a. m.,10:55:00 a. m.
18,Tribu Invencible Mezquital,17 Mezquital,Matutino,Ciencias Naturales,95.23,10:10:00 a. m.,10:55:00 a. m.
19,O’dam Tasai,18 Antonio Amaro,Matutino,Ciencias Naturales,90.47,10:10:00 a. m.,10:55:00 a. m.
1,ALQUIMISTAS ,01 La Forestal,Matutino,Ciencias Naturales,95.23,10:10:00 a. m.,10:55:00 a. m.
20,JILGUEROS DEL ARROYO,19 Santa Clara,Matutino,Ciencias Naturales,85.71,10:10:00 a. m.,10:55:00 a. m.
21,Guerreros ,20 Guadalupe Victoria,Matutino,Ciencias Naturales,95.23,10:10:00 a. m.,10:55:00 a. m.
22,Corceles de fuego ,22 Santa Ma. Del Oro,Matutino,Ciencias Naturales,80.95,10:10:00 a. m.,10:55:00 a. m.
23,Tusas mineras,23 Coneto de Comonfort,Matutino,Ciencias Naturales,66.66,10:10:00 a. m.,10:55:00 a. m.
24,Coyotes,24 Simón Bolívar,Matutino,Ciencias Naturales,80.95,10:10:00 a. m.,10:55:00 a. m.
25,ESCUADRÓN 27,27 Vicente Guerrero,Matutino,Ciencias Naturales,90.47,10:10:00 a. m.,10:55:00 a. m.
26,TUKURA,28 El Salto,Matutino,Ciencias Naturales,85.72,10:10:00 a. m.,10:55:00 a. m.
27,Furia Manzanera ,29 Canatlán,Matutino,Ciencias Naturales,90.47,10:10:00 a. m.,10:55:00 a. m.
28,VIGIAS DEL SABER ,31 La Ciudad,Matutino,Ciencias Naturales,85.71,10:10:00 a. m.,10:55:00 a. m.
29,LOBOS,32 Juana Villalobos,Matutino,Ciencias Naturales,85.71,10:10:00 a. m.,10:55:00 a. m.
2,Guardianes del Jardín ,02 Lerdo,Vespertino,Ciencias Naturales,90.47,10:10:00 a. m.,10:55:00 a. m.
30,Halcones,32 Juana Villalobos,Vespertino,Ciencias Naturales,95.23,10:10:00 a. m.,10:55:00 a. m.
31,Titanes,33 Pino Suárez,vespertino,Ciencias Naturales,85.71,10:10:00 a. m.,10:55:00 a. m.
32,SOMOS GIGANTES VILLAS,34 Villas Del Guadiana,Matutino,Ciencias Naturales,66.66,10:10:00 a. m.,10:55:00 a. m.
33,la variable rebelde ,35 Gómez Palacio,Vespertino,Ciencias Naturales,95.23,10:10:00 a. m.,10:55:00 a. m.
3,COBAED MADERO,03 Fco. I. Madero,Matutino,Ciencias Naturales,52.8,10:10:00 a. m.,10:55:00 a. m.
4,En proceso,05 Bermejillo,Matutino,Ciencias Naturales,80.95,10:10:00 a. m.,10:55:00 a. m.
5,ELITE DEL INTELECTO,06 Peñón Blanco,Matutino,Ciencias Naturales,95.23,10:10:00 a. m.,10:55:00 a. m.
6,Campobellos en movimiento,07 Villa Ocampo,Matutino,Ciencias Naturales,80.95,10:10:00 a. m.,10:55:00 a. m.
7,Escuadron respeto y victoria,08 Nazas,Matutino,Ciencias Naturales,85.71,10:10:00 a. m.,10:55:00 a. m.
8,Pumas 09,09 Lomas,Matutino,Ciencias Naturales,80.95,10:10:00 a. m.,10:55:00 a. m.
9,CORCELES DEL SABER  ,09 Lomas,Vespertino,Ciencias Naturales,90.47,10:10:00 a. m.,10:55:00 a. m.
10,Guerreros Pinioleros,10 Santiago Papasquiaro,Matutino,Matemáticas,100,10:10:00 a. m.,10:55:00 a. m.
11,Papas Kiali Papali,10 Santiago Papasquiaro,Vespertino,Matemáticas,100,10:10:00 a. m.,10:55:00 a. m.
12,BAILEYI´S O´DAM,11 Tepehuanes,Matutino,Matemáticas,100,10:10:00 a. m.,10:55:00 a. m.
13,Apex Ducks,12 Nuevo Ideal,Matutino,Matemáticas,100,10:10:00 a. m.,10:55:00 a. m.
14,Impacto 13 ,13 Tamazula,Matutino,Matemáticas,75,10:10:00 a. m.,10:55:00 a. m.
15,LOS GUARDIANES DEL DESIERTO,14 San Juan De Guadalupe,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
16,MENTES NOCTURNAS ,15 San Miguel De Cruces,Matutino,Matemáticas,75,10:10:00 a. m.,10:55:00 a. m.
17,"Coba 16, Mente y Talento ",16 Tayoltita,Matutino,Matemáticas,100,10:10:00 a. m.,10:55:00 a. m.
18,Tribu Invencible Mezquital,17 Mezquital,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
19,O’dam Tasai,18 Antonio Amaro,Matutino,Matemáticas,100,10:10:00 a. m.,10:55:00 a. m.
1,ALQUIMISTAS ,01 La Forestal,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
20,JILGUEROS DEL ARROYO,19 Santa Clara,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
21,Guerreros ,20 Guadalupe Victoria,Matutino,Matemáticas,100,10:10:00 a. m.,10:55:00 a. m.
22,Corceles de fuego ,22 Santa Ma. Del Oro,Matutino,Matemáticas,75,10:10:00 a. m.,10:55:00 a. m.
23,Tusas mineras,23 Coneto de Comonfort,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
24,Coyotes,24 Simón Bolívar,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
25,ESCUADRÓN 27,27 Vicente Guerrero,Matutino,Matemáticas,100,10:10:00 a. m.,10:55:00 a. m.
26,TUKURA,28 El Salto,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
27,Furia Manzanera ,29 Canatlán,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
28,VIGIAS DEL SABER ,31 La Ciudad,Matutino,Matemáticas,35,10:10:00 a. m.,10:55:00 a. m.
29,LOBOS,32 Juana Villalobos,Matutino,Matemáticas,100,10:10:00 a. m.,10:55:00 a. m.
2,Guardianes del Jardín ,02 Lerdo,Vespertino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
30,Halcones,32 Juana Villalobos,Vespertino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
31,Titanes,33 Pino Suárez,vespertino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
32,SOMOS GIGANTES VILLAS,34 Villas Del Guadiana,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
33,la variable rebelde ,35 Gómez Palacio,Vespertino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
3,COBAED MADERO,03 Fco. I. Madero,Matutino,Matemáticas,75,10:10:00 a. m.,10:55:00 a. m.
4,En proceso,05 Bermejillo,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
5,ELITE DEL INTELECTO,06 Peñón Blanco,Matutino,Matemáticas,10,10:10:00 a. m.,10:55:00 a. m.
6,Campobellos en movimiento,07 Villa Ocampo,Matutino,Matemáticas,50,10:10:00 a. m.,10:55:00 a. m.
7,Escuadron respeto y victoria,08 Nazas,Matutino,Matemáticas,75,10:10:00 a. m.,10:55:00 a. m.
8,Pumas 09,09 Lomas,Matutino,Matemáticas,100,10:10:00 a. m.,10:55:00 a. m.
